Artista,Cancion,Lyrics,Etiqueta,Expresion
alejandrosanz,Todo Es De Color,"

Todo el mundo cuenta sus penas
pidiendo la comprension
quien cuenta sus alegrias
no comprende al que sufrio

Señor de los espacios infinitos
tu que tienes la paz ahi entre las manos
derramala Señor te lo suplico
y enseñales a amar a mis hermanos

de lo que pasa en el mundo 
por Dios que no entiendo nada
el cardo siempre gritando
y la flor siempre callada

que grite la flor 
y que se calle el cardo
y todo aquel que sea mi enemigo 
que sea hermano

vallamos por esa senda
a ver que luz encontramos
esa luz que esta en la tierra 
y que los hombres apagamos

Señor de los espacios infinitos
tu que tienes la paz ahi entre las manos
derramala Señor te lo suplico
y enseñales a amar a mis hermanos

y enseñales lo bello de la vida
y a ser consuelo en todas las heridas
y amar con blanco amor toda la tierra
y buscar siempre la paz Señor y odiar la guerra

y en aquel jardin han entrado
cuatro hombres a por fia
y sin compasion se han llevado 
la rosa que yo queria
y luego la han despreciado

y quien me puede demostrar
que Cristo no fue gitano
ni que sabia cantar
las flores de tu balcón
las flores de tu balcón 
lloran por verte, que lo se yo
",0,
anagabriel,Todavia Tenemos Tiempo,"

Ahora sé
Perdemos tiempo
En peleas sin razón
Dejamos de vivir

Ahora se
Fallamos juntos
Y el orgullo no dejo
Amarnos todavez

Los dos nos maltratamos sin motivo
Mas sé que precisamos del cariño
El amor vive de sus sueños
Mas no vive de ilusiones

Los dos aun podemos entendernos
Porque, sé que me aceptas
Yo te acepto
Y sé que alguien ama
Ya no vive en soledad

Corazón nunca es tarde
Solo escucha mi voz
Que la felicidad
Nos espera a los dos

El amor de este mundo
Lo podemos vivir
Mas depende de nosotros
Si queremos

",0,
anuelaa,No Forcen,"


Todos estos cabrones me quieren matar
Pero yo tengo tres palestinos
Nosotros movemos los kilos y ya tengo
Una bala para cada enemigo.

Conmigo no force, si ya tu sabes
Que me paso quemando y gastando con pila de mamis
Conmigo no force, si ya tu sabes
Que me paso quemando y gastando con pila de mamis.

Conmigo no force

Me compre mi fulete en 14
Me monte en un bote para las islitas
Y compre los trabajos a 12

Ella se traga ese bicho en mi cueva
Yo soy el diablo pa' puro de la nueva
Entro para la disco y pido 100 botellas
Estoy con papotito en demonio de cantera

La sangre sobre el agua pesa (Ozuna)
Tenemos encima ocho piezas
Y todo el que me venga de chota (Ozuna)
Y virado, el AK con el pico lo besa

Cabrón yo nunca he tenido una Vetereta
Yo tengo una Glock Fuleta con 2 tetas
Ozuna
Los míos son tan natural, tarjeta negra
No corro con Fecas

Tengo una Venezolana
Que le gusta la marihuana
Tengo una Colombiana
Que lo que me pide
Es que yo le de mama

Y salimos Ready, los R y las Glock
Acicalada mi mami, a Toditas mato
Salimos Ready, Rompimos el club
Acicalada mi mami, a Toditas ellas las mato

A veces quiera saber
Por que es que la cogen conmigo
Sera porque estamos brillando
Y matando, yo tengo lo mío

Conmigo no force, si ya tu sabes
Queme paso quemando y gastando con pila de mamis
Conmigo no force, si ya tu sabes
Queme paso quemando y gastando con pila de mamis

El tonka compró 30 rifles y vamos a cazar
Hasta que los matemos a todos
Llegamos en la raptor y en la porsche
Con los de playitas y bahiamon

Los Drakos todos tienen tambores
Y todas las Glock tiene peine de extensiones
Los compre en el Roberto clemente
Pero los vendí en 33 en el Bronx

El DEA me mama el bicho después
Que Jockey se baja del avión
Coronamos, después que los pájaros
Blancos aterricen en Nueva York

Oro amarillo en mi cuello 1.2 k en mis gafas
Cabrón yo soy Hector la voz
Yo me monto con Jaimito y te van a ver muerto
En noticentro con tu patrón

Conmigo no force, me compre mi fulete en 14
Me monte en un bote para las Islita y compre los trabajos 12

Ella se traga ese Bicho en mi cueva
Yo soy el diablo más puro de la nueva
Entro para la disco y pido 100 botellas
Estoy con papotito en demonio de cantera

Yampi
Ozuna
Ozuna
Tenemos encima 8 piezas
El año siete mil
Yo soy intocable como el tonka
Me voy a cagar en la madre del diablo
Real hasta la muerte, oiste cabrón
Ando con Yampi
El año siete mil
Los Diablos Oíste Bebe
",1,"Tengo una Venezolana
Que le gusta la marihuana
Tengo una Colombiana"
polimawestcoast,No Me Dejo Ver,"

No me dejo ver
Negro el carro mate, brilla el VVS
Vuelvo y guardo sin usar el GPS
Lo' mismo' de siempre, pero do' o tre' que se dejaron ver
Y ahora ven mi Balmain
'Toy con mi' mandrile', nadie puede joder
Yo cambié el pronóstico y ahora haré llover
Demasiado joven para tanto poder, construí mi torre

Pronto en MTV Cribs, yo no recibo tips, yo respondo con hit' (Yeah)
Siempre estoy con OGs, Kevin y DST enrolando la weed, yeah
Flow New York, VIP, ay, esto e' New York, sí, ven la Jaguar, baby, yeah
Y no me hablen así, joseé pa' estar aquí, coronando, baby, yeah
Y es que arriba 'toy con todo mi dog'
Con mi fuerza y con la bendición de mi Dios
Puse a mis hermano' a ver todo el work
Tengo unos gorila', 'tán negro' como Glock (Pah)
Cuando llegamo' el mundo dice wow,
Capsuleando, que se joda toda la cop
Vendo gramo' por si acaba el stock
Si no llamo al dealer y al minuto restock

Y ahora sonamo' en carro' alemane' (Brrum)
Sacar a tu familia adelante, eso lo vale (Prr)
Par de Glock negra' que son iguale'
Fumar porro en el estudio, los día' son normale'
Pero to' los día', mami, no son iguale' (No)
Cuidate de lo' gile' que en la calle tiran male' (Male')
La vida e' así, una que entra', otra que sale (Ja)
Pero si ayuda' a tu mamá, eso el doble vale (Vale)
Y no confío en gente que usa una máscara (no)
Flow New York pa' la cima, nadie nos parará (Parará)
Apuntaban con láser y ahora con cámara' (Prr)
Ando con lo' que no están pa' las cámara' (Ja)

'Tamo, no ha gira'o
Y estoy agradecío' por eso, de esta' caída' salgo ileso
Yo por mis muerto' 'toy preso solo por buscarme el peso, extraño los beso'
Por la liberta' e' este rezo, y sigo firme como Floyd, duro, malo y tieso
Y si me veo en cero, los veo y de nuevo y empiezo
Me siento un BrokeBoi, como mi hermo Polimá
Lo que prometimo', mi negro, nos veremo' en la cima
A vece' es la misma pero aparece algo en la cima
Y mi vitamina caminando por un camino de mina'
Aunque el Loto ya esté escrito, pero a nadie elimina
Que el éxito lo tengo encima
Y está esperando en una esquina, como el famoso John Cena
Voy a atacarlo y si hay dinero, buscarlo
Un salu'o al que no hace na', y si llama e' el Carlo'
Guatón Zurita, el Prieto y el Jairo
Que aunque no puedan viajar pa' que no exista el arraigo
Mafia
Free Shaggy, free Toba y free Gili (Free Shaggy, free Toba y free Gili)
Y yo, free Juli
",0,
arcangel,Somos O No Somos,"

¿Somos o no somos?
Omy, Omy
Austin, baby
Indica, Arca
Omy
De Oro
Los de Oro, cabrones
Oye
Oye, cabrones, ¿se van a dejar ver o no?

¿Somos o no somos?
Te dejaste ver y (You know)
Te ganaste tu plomo, plomo
La guerra no abandono-dono (Yo lo sé)
Otra vuelta corono
En mi máquina oro, ahora e' mío el suero
El papi de las cuero'
To' lo que tú hagas, cabrón, lo supero-pero

Yo no me comparo
Tengo el piquete más caro
Ahora están llamando to' los que picharon
Omy, Omy
De estos Avengers, el Thanos
Kilos, kilos, kilos, kilos coronamos (Kilos)
Al diablo el infierno se lo congelamos
Si aquí se quemaron, con el R-15 les damos
Y ahora estamos a mano

No soy empleado, cabrón, siempre jefe
En el suelo el Ferrari y en el cielo el jet
Las botellas de Nuvo pa' bajar la sed
Yo tampoco era así, pero como el Conejo, también me embiché
Yo no me viré, ustedes se viraron y los descarté (Omy, Omy)
No me ronquen de calle, yo sé
Que pa' mover una libra se tardan un mes
¡Omy!

¿Somos o no somos? (Sí)
Si vienes con mierda, no te la como (No)
¿Somos o no somos?
Mientras estabas subiendo, yo estaba en la capa de ozono

Quiero que tengas abundancia (Sí)
Yo quiero que tú te encienda' (¿Por qué no?)
A ver si mañana tú coge' y te pega'
Y por lo menos compra' una prenda (Bling-bling pa' ti)

¿Somos o no somos?
¿Tú pagas tu renta? Yo no sé ni cómo
Te mueres si me asomo
(Como Pablo Escobar, esto es plata o plomo)

Muchos quieren verde' y quisieran ser lo que no pueden entender
Pero no es querer, es que pa' poder
Por esto te tienes que joder, Dios

Yo no quiero na' contigo y si es por mí, te va' pa'l carajo (Bye)
Par de peso' a tus enemigos
Y sin testigo' te vas sin relajo

Y yo sé que tú sabía'
Por eso te aborrecía
Yo sé que tú llorabas to' los días porque yo tenía lo que tú quería'

Canto cuando yo quiera
Así que estate tranquilo
Gracias a Dios por la música
Si no, yo estuviera vendiendo kilo'

Kilo', kilo', un kilogramo
Oh, a eso vamo'
No se acaba el dinero mientras contamo'
(Oh, y a eso vamo')

Oye, indícame, Austin
Me digan si somos o no somos
Metiendo los tambores ahí, por ellos
Omy, Omy, Omy de Oro
",0,
carlosvives,Ms Que T No Hay Nadie,"

Más que tú, no hay nadie
que me comprenda como soy
que me sostenga, cuando estoy caído
y me levante con su amor

Más que tú ni el aire
te necesito al respirar.
Mi compañera, mi mejor amiga,
mi complemento, mi verdad.

Pues, eres 
la luz en la niebla
pues, mi guía y mi fuerza
mi paz, mi canción,
mi nueva ilusión,
un bello poema.

Pues, mis cinco sentidos
y hoy estación y camino.
Mi cuerpo y mi piel,
mi sangre
mi fe,
tú eres mi destino.

Más que tú, no hay nadie
que me devuelva el valor 
que me de tanto sin pedir nada
y me levante con su amor.
",0,
alejandrofernandez,Pude,"

Pude, decir que no eras lo que yo buscaba
Y que tú solamente me gustabas
Para pasar el rato y nada más

Pude, pero mi no me gustan las mentiras
Y preferí decir que te quería
Aunque ahora entiendo que debí callar

Pude tomarte solamente como un juego
Pero me hice ilusiones con tus besos
Y ahora, sólo me toca aceptar

Que pude haber sido más maduro o ser más inteligente
Para darme cuenta a tiempo que tú no ibas a quererme
Y saber que tú, conmigo te querías divertir

O pude haber escondido mis cartas o tal vez sólo mentirte
Para que no te asustaras y decirte que tu amor no me importaba
Y es tan claro que tú seguirías aquí

Pude haber dejado las cursilerías para otra relación
Pero siempre que me entrego me domina el corazón
Y por eso aunque pude hoy me quedo sin tu amor
",0,
carlosvives,Lirio Rojo,"

Yo tenía mi lirio rojo 
Bien adornao 
Con una rosita blanca 
Muy aparente

Pero se metió el verano 
Y lo marchitao 
Por eso vivo llorando 
Mi mala suerte

Se marchitó mi lirio rojo 
Y fue por culpa del verano 
Por eso estoy desconsolado 
Al ver que me dejó tan solo.

Tan bonito blanco y rubio 
Como nació 
Adornado con rositas 
Y jazmincitos.

Pero se metió el verano 
Y lo marchitó 
Por eso vivo llorando 
Al verme sólito.

Se marchitó mi lindo lirio 
Y mi blanca rosa 
Tendré que soportar martirio 
Y terribles cosas.

",0,
arcangel,No Se Si Fue,"

Hey yoo!
Esto es el nene (de corazon)
Arcangel pa
Con un poco de sentimientos
Por que en verdad como yo soy de callejon
Esto si que esta cabron
Tu sabes como yo soy
Tu sabes que el nene es bien bocon (bien)
Esto es pa'ti

No se si fue la distancia
O tal vez culpa de mi ignoracia
No se si fue por mi inmadurez
Que conmigo no quieres volver
No se si fue la distancia
O tal vez culpa de mi ignoracia
No se si fue por mi inmadurez
Que mi nena no quiere volver

Amada mia, muñeca preciosa
Mi niña caprichosa, sencilla
Y tan hermosa contigo me sentia como en un
Jardin de rosas, contigo todo era diferente
Me transportabas a otro mundo si estabas
Presente
Gracias a ti aprendi a sentir el calor de una
Pasion ardiente
Me desespero cuando estas ausente
Mi nena inteligente conmigo complaciente
Por eso siempre de ti estoy pendiente
Sin importar la gente sus comentarios
Deprimente, recuerda que aquel nene
Te tiene presente

Yo me acuerdo aquella navidad
En que nos besamos solo por
Curiosidad tambien recuerdo
Decias que eras mia (ohh) mia
Y de nadie mas

Yo te lo digo pero por supuesto que yo estoy
Dispuesto a brindarte mi corazon
Y te lo digo que si me perdonas no va a ver otra
Ocasion en que cometa un error

Ahja!
Tu me conoces muy bien y tu sabes como yo soy
Tu sabes que pase lo que pase
Por mas que te guilles, guillate
Por mas ganas de decir que ya no me amas
Eso es feka, como siempre
Es mas te digo algo
Tu eres mas mia que tuya
Eso es lo que puedes saber
Que puedes frontiar
O sera que algo nuevo tu quieres probar
No se si quieres tener mas libertad pero como yo
Es mas no se si fue mierda
Todo lo que dijistes pero
Yo soy
Arcangel pa
El nene
Ok...
Je
Bye Bye
Bye Bye
Escucha bien, escucha bien
Bye Bye
Bye Bye
Que te valla bien
",1,"Es mas te digo algo
Tu eres mas mia que tuya
Eso es lo que puedes saber"
carlosvives,Me Estoy Muriendo De Amor,"

Cuánto tiempo tengo que esperar, 
cuántas horas más se pasarán 
cuántas veces más tengo que disimular. 

Cuántas noches sin poder dormir 
anhelando que se llegue al fin 
ese día en que me digas 
lo que sientes tú por mí.

No me logro concentrar 
siempre estoy a punto de chocar, 
todo me da vueltas, 
dame una respuesta, 
necesito un si, o un no.

Porque me estoy muriendo de amor 
que me estoy rompiendo.

Mi vida es un desierto 
y mi cuerpo sediento 
pide más tu cuerpo. 

y tienes que decidirte 
porque no aguanto más 
mis sentimientos.

A escondidas yo te veo salir 
tu fotografía conseguí 
pero nada es suficiente para mí.

Tu recuerdo cada vez mayor 
como un guardaespaldas vivo yo 
todo por una palabra 
que me alegre el corazón 
",0,
camila,Abrzame,"

Tienes que saber 
Que es lo último que pido
Que estoy desesperado 
Y según mis latidos 
No me queda mucho 
Tiempo a mi favor

Y antes de perder 
De vista mi camino 
Quiero mirarte un poco 
Y soñar que el destino 
Es junto a ti mi amor.

Quedate un segundo aquí
A hacerme compañia 
Y quedate tantito más
Quiero sentirte mia

Y abrázame

Hoy me he dado cuenta 
Que no habia sentido 
Tanto miedo antes 
Que yo no decido 
Que Dios lo hace mejor
Y antes de perder 
De vista mi camino 
Quiero mirarte un poco
Y soñar que el destino 
Es junto a ti mi amor 

Dame una razón para quedarme
Yo no quiero tu compasión
Quiero que estes conmigo
Hasta que me haya ido
",0,
alejandrofernandez,Sueo Contigo,"

Se que la vida pone pruebas en derrotas 
y en el alma una respuesta sin pregunta. 
Tengo gans de pensar que si  
algún dia no estas te buscaré. 
Yo se, que tu ser y el mio  
tiene pactos con la luna 
que en el corazón tu fé 
salvando mi locura.

Tengo ganas de esconderme entre tu piel 
volver a ser el mismo de antes en tu boca. 
Tropezar en la misma piedra si me toca, 
repetir el mismo cuento en tu mirada, 
y poder seguir el ritmo a tu respiración.

Sueño contigo, no me conformo  
con perder otra mañana 
andando a solas preguntando una vez por mes 
que si me quieres o si me extrañas.

Sueño contigo, 
no me conformo con seguir siendo tu amigo, 
andar a solas preguntandole a mi soledad, 
que si te espero o si te tengo que olvidar.

Sé que tu vida tiene espacio entre mis ojos 
y la sombra de tu cuerpo me refresca. 
Tengo el tiempo necesario 
para florecer en un rincón de tu memoria. 
Escribir en un abrazo nuestra historia, 
repetir el mismo cuento en tu mirada 
y poder seguirle el ritmo a tu respiración.
",0,
arcangel,Insegura,"

Yo soy la recompensa de tu tristeza
Y aquí me tienes
desde hace tiempo tu me interesabas
Ahora que se dejaron, siempre te difama
Cuando te ignoraba, yo te deseaba
y mi cuerpo en llamas

Yo sé que tú quieres, pero él no te quiere
Entonces, como quieres que lo que tienen, funcione
Espero que lo deje y cuando se dejen
mi nombre sea la primera palabra que mencionas

Baby yo no quiero, pero comoquiera
es muy difícil que con lo que te hizo lo perdones
Yo se que no estas pa' ninguno
pero por ti, yo no soy ninguno

Tu tan bonita y tan insegura
Si tú supieras que ninguna, están a tu altura
Él te quiere tanto y no te presume
Tu necesitas alguien que te sume
Así tu piénselo, eso pienso yo
Cuando quiera nos mordemos

Vente conmigo, anda desnuda en la mansión
Veamos televisión, en el medio de está sala
Al pilotó que vaya y preparé el avión
Y hagamos el amor de camino a PR, sin hacer escala

Dicen tus amigas que estás en mal estado
Que hace tiempo, no te ven reír, Me tienes preocupado
Echa pa'ca, deja los problemas al lado
Visitemos, las alturas descojonemos, este Jet privado

Maaaa... echa pa'ca
tengo una sorpresa, te la voy a dar

Si lo dejas pa' después, se te enfría el cafe
Ya yo me programé, aprovéchame
Tienes que estar cerraita, hace tiempo no te dan
Y yo te voy a romper y te voy a reparar

Te voy a reparar y te voy a romper
Tienes que estar cerraita, hace tiempo no te dan
Y me programé, aprovéchame
Si lo dejas pa' después, se te enfría el café

",1,"Tu tan bonita y tan insegura
Si tú supieras que ninguna, están a tu altura
Él te quiere tanto y no te presume
Tu necesitas alguien que te sume
Así tu piénselo, eso pienso yo
Cuando quiera nos mordemos

Si lo dejas pa' después, se te enfría el cafe
Ya yo me programé, aprovéchame
Tienes que estar cerraita, hace tiempo no te dan
Y yo te voy a romper y te voy a reparar"
carlosvives,La Despedida,"

Yo vengo a darte mi despedida
con este merengue sentimental
para que sepas Maye querida
que yo me voy de Valledupar.

Porque me vaya para el liceo
te juro mi Maye no estoy contento
las despedidas dan sentimiento
y eso es muy justo yo te lo creo.

No llores mi Maye, no llores más
que a mí me duele verte llorar
tú sabes mi Maye cómo me duele
que yo me vaya y que tú te quedes.

Ponte mi Maye ese trajecito
que te ponías cuando me esperabas,
ese que tiene flores pintadas,
dos mariposas y un pajarito.

Yo no me opongo a que tú te pintes
esa boquita tan primorosa
lo que yo temo es que se te quite
y me dejes pintadas dos mariposas
",0,
ozuna,Carita De ngel,"

No sé como explicar, no sé como expresar tanto sufrimiento
Solamente Dios sabe como me siento
Mi mundo se me acaba, mi corazón de arena
Ahora queda a la espera que Dios me mande a buscar

Dime como aceptar que ya no veré más
La carita de mi ángel que al cielo se va
Dime como aceptar que ya no veré más
La carita de mi ángel que al cielo se va

Inocencia, en un mundo lleno de violencia
Sin pensar en consecuencias
Ya la paciencia no es competencia pa' la demencia
¿A dónde se fue la inteligencia?
Ya no woa' tener concentración
Veo todo blanco y negro, ya nada tiene color
Se quedó el dolor cuando abro la puerta de tu cuarto
Adiós mi ángel, en el cielo te están esperando

Te pido Dios, perdónalos, pero yo no
Ellos no saben lo que hacen
Te juro Pa' que me la paga to' el que me la hace
Descansa baby, dame fuerzas pa' no destrozarme

Ya no quedan lagrimas para llorarte
Y mi pensamiento nunca va a borrarte
Miro al cielo y tu cara es un arte
Que se dibuja mientras yo camino a recordarte
Te pido paz señor, aquí en la tierra, como en cielo
Yo sé que vivimos en el fuego
Y que algún día ya nos veremos

Te pido Dios, perdónalos, pero yo no
Ellos no saben lo que hacen
Te juro Pa' que me la paga to' el que me la hace
Descansa baby, dame fuerzas pa' no destrozarme

",0,
maluma,Me Enamor de Ti,"

Quiero que sea mía y nunca de nadie
(Baby, bebé)
Si llegué a tu vida fue para quedarme
(Tú sabes)
Un amor verdadero nunca se comparte
Prometo darte todo y que nada te falte

Me enamore de ti
De tu figura, de tu cara y ya no sé qué hacer
Me voy a enloquecer
Dime si sigo aquí
Si entrego lo que tengo o me voy de aquí
Y te quedas sin mí

Me enamore de ti
No sé si tú de mí
Dime si sigo aquí
Luchando para ver si algo te hago sentir

Contéstame al teléfono, mami, no digas que no
Mira que estoy solo y que te extraño en mi habitación
Yo sé que todavía escuchas Aventura
Y lo que siento por ti no es ninguna obsesión

Oye, mami
Espérame en la puerta
Que voy a recogerte
Espero que esté' dispuesta

Oye, mami
Espérame en la puerta
Que vine a recogerte
Dime qué te cuesta
",1,"Quiero que sea mía y nunca de nadie
(Baby, bebé)
Si llegué a tu vida fue para quedarme
(Tú sabes)
Un amor verdadero nunca se comparte
Prometo darte todo y que nada te falte

"
arcangel,Slido,"

Damas y caballeros!
Bienvenidos a este evento sensacional!
Y sin más preámbulo!
Y mas nada que hablar!
Bienvenidos al mundo de lo comercial!

Déjame meterle sólido
Que a mi me gusta cuando baila con mi flow
(Yeah...) Déjame tocar tu piel
(Ohhh...) Tus movimientos quisiera ver

Hay algo de ti que me encanta
Yo quisiera verte modelando tu falda
Me tiene loco el temblequeo de tus nalgas
Bailando reggaeton te me pones de espaldas

Mai, ya tu sabes, que ando revuelto
Yo se que a ti te gusta cuando te doy lento
Quiero perrearte sin comer cuentos
Lo que me tiene envuelto a mi es tu pelo suelto

Yo también chanteo, pero quiero perrearte primero
Suave si te gusta el movimiento, duro dale
Que perreando yo soy un experto

Dale, mami, nos fuimos a fuego
No te des guille que yo no te ruego
Si tu quieres flama ven pa' mi cama
Que te voy a dar hasta por la mañana

Hasta por la mañana
Hasta por la mañana
Dándote flama
Aquí en mi cama
De ti tengo ganas.

Arcángel, pa'!
Esto es marcando la diferencia!
Los anormales musicales, pa'!
Los anormales musicales, pa'!
Esto es alto calibre!
Aja!
Se soltó el león negro!
Perdón!
El cachorro!
Aja!
Arcángel, pa'!
",0,
camila,Sin Tu Amor,"

No hay mas palabras que decir
Tampoco historias que contar
Lo que un dia a mi llego, hoy ya no esta

Ya que el dolor nunca se va
Tan solo pide libertad
Pero el destino decidio una vez mas

A poco tiempo de sentir que eras todo para mi
Y yo no puedo mencionar tu nombre
Y saber que estoy aqui, yo sin tu amor
Yo sin tu amor

Yo sin tu amor
He estado a punto de ir a buscarte
Y entregarte de nuevo el corazon
Yo sin tu amor
He estado apunto de recuperarme

Y dejar atras este dolor
Yo sin tu amor

No ha sido facil aceptar que tu ya no regresaras
Como me duele recordar que ya no estas
A poco tiempo de sentir que eras todo para mi
Y yo no puedo mencionar tu nombre
Y saber que estoy yo aqui sin tu amor
Yo sin tu amor.
",0,
juangabriel,El Destino,"

Me quieres? Te quiero
Por ti yo siento un cariño
Desde que éramos niños, yo
Te quiero y también te amo

¿Y tú me quieres? Te quiero
Aunque muy poco nos vemos
Desde que nos conocemos yo
Te quiero y también te extraño

Es tan hermoso saber
Que te piensa otro ser
Y al fin de este siglo
Tú y yo somos alguien
Que tienen y sienten cariño sincero

Por eso siempre tu y yo
Vivimos así, felices serenos
Tu cuentas conmigo yo cuento contigo
En cualquier instante
Y en cualquier terreno

¿Me quieres? Te quiero
Porque eres bueno conmigo
Pongo el amor de testigo que
Te quiero y también te amo

¿Y tú me quieres? Si, te amo
Confirmo a diario lo mismo
Estoy a tu mismo ritmo soy
Tu amigo y también tu hermano

Este cariño nació
El día en que dios cruzo los caminos
Y puso tus ojos, tus manos, tu canto
Y tu verso en mi si no, valió la pena nacer
Por el hecho de ser
Tú y yo más que amigos

Cosas de la vida
Cosas de la suerte
De esas cosas bellas
Que tiene el destino
",0,
arcangel,Slo T,"

Déjame soñarte eternamente
Y si despierto que sea por tus suspiros

Juro se siente bien...
Ver tu silueta después de tanto placer
Juro se siente bien...
Que tu recuerdo me traigan escalofríos

Juro se siente bien...
Ver tu silueta después de tanto placer
Juro se siente bien...
Es diferente a todo lo que yo he vivido

Porque solo tu tu tu tu tu tu tu tu tuuu...
No hay nadie como tu tu tu tu tu tu tu tu tuuu...

Mami linda
Se siente bien tener el placer de mirarte
Mientras amanece y poder contemplar
Esa carita tuya que sonríe mientras duerme
Y yo no puedo parar de mirar

Me excita tu piel, tu olor de mujer
Hay muchas cosas que hay que sentirlas para creer
Y si lo cuento nadie me cree
Pero así es mejor, solo soy yo el que lo se

Con tan solo un beso baby tu me elevas
Haciendo el amor, tocamos las estrellas
Nunca habia visto una mujer tan bella
Tu eres mi princesa, de mi alma la dueña

Y como te explico, contigo es diferente
Estos sentimientos no salen frecuentemente
Tu con tu locura, me volviste demente
Que nos importe un culo lo que piense la gente

Es más, nos vamos de aquí, hacia otro país
Amanecemos en Grecia y al otro día en París
Solo tu decides donde quieras vivir
Desde ahora en adelante lo que quieras pedir pa ti

All Rights
Yes we are
The Favorites
Luian
Austin La Marash
Junto al Pretty Boy
Maluma
Directamente desde Colombia, Puerto Rico
Flow Factory
Baby
Sólo Tú
Oh Yes, La Marash
Kevin ADG, Chan El Genio
The Rude Boys
Diselo Luian, Luian, Luian
Los Favoritos
",0,
antonioaguilar,Que Te Ha Dado Esa Mujer,"

¿Qué te ha dado esa mujer?
¿Que te tiene tan engreído, querido amigo?
Querido amigo, yo no sé lo que te ha dado

Cada que la veo venir
Se agacha y se va de lado, querido amigo
Querido amigo, ese amor no puede ser

Si el propósito yo hiciera de dejarla
Mi destino es comprenderla y olvidarla

Lo que no le diga hoy
Ay se lo diré mañana, querido amigo
Querido amigo, más vale, mejor morir

Ya hace cuatro o cinco días que no la miro
Que no la miro sentadita en su ventana
",0,
anagabriel,Me Estoy Enamorando,"

Eres toda mi alegria 
y no estas aqui conmigo 
eres mi cancion sin verso 
poema sin estrofa 

No se que veo en ti 
pero me agrada tu voz 

Yo no se si me hace falta la razón 
pero yo quiero vivir junto a ti 

Me estoy enamorando ahora 
sola no resistire 
me estoy enamorando ahora 
se que no soportare 

Quiero tenerte aqui 
yo necesito de ti 

Que tu amor fue mi sorpresa 
que cambio mi vida entera 
no me niegues de tus besos 
que a todo estoy dispuesta 

",0,
anagabriel,Hay Que Hablar,"

Callada me quede 
tu fuiste quien tomo la decision 
ahora que no puedo estar 
mas tiempo sin ti 

No quiero estar asi 
yo creo que debemos entender 
hablarnos y decirnos si este amor 
llego a su fin 

Yo quiero que me des una razón 
a ver si existe aun la solución 
hay que hablar 

Dame tan siquiera la oportunidad 
y hablemos de lo nuestro sin temor 
no quiero lastimar tu corazón 
callarme pudo ser quiza mi error 

Mirame de frente a frente 
dime que no quieres mas de mi 
quiero que lo digas ya 
no me hagas esperar 

Me quedo sin tu amor 
y nada puedo hacer con este adios 
quisiera que entendieras 
que no puedo estar sin ti 

Rompiste muy de golpe mi ilusion 
dejando por un lado nuestro amor 
hay que hablar 

",0,
antonioaguilar,La Higuera,"

Ya la higuera se seco
Ya tiene las raices fuera
Ya mi prieta no me quiere
Porque ando en la borrachera

Hay que paredes tan altas
Para mi tan chaparrito
Quisiera ser albañil
Para bajarlas tantito
",0,
anagabriel,La Despedida,"

Dicen que no se siente la despedida 
dile a quien te lo dijo, que se despida 
al decir sus adioses a quien se adora 
sabrá lo que se sufre lo que se llora 

¡Ah! de los corazones, que se separan 
no haber latido nunca mejor desearan 
cuanta duda y tormenta crueles aquejan 
a los seres que se aman, cuando se alejan 

Dicen que no se siente la despedida 
dile a quien te lo dijo que eso es mentira 
mentira ingrata de un ser que se adora 
si hasta se quiere, y hasta se añora 

Cuál de los dos amantes sufre más pena 
el que se va o el que se queda 
el que se queda se queda llorando 
y el que se va, se va suspirando
",0,
carlosvives,Diosa Coronada,"

Señores voy a contarles
hay nuevo encanto en la sabana
En adelanto van estos lugares
ya tienen su diosa coronada
La vida tiene buen adelanto
y tiene diosa de los encantos
y tiene su corona de reina
lo bello aquí está el Magdalena

Paso a contar lo siguiente
conozco diosa y rey querido
Ese nombre de diosa es de gente
que tenga su grado distinguido
Que viva el mismo movimiento
y que tenga el mismo pensamiento
que viva alegre en la sabana
ya tiene su diosa coronada
que canta el pobre Leandro Díaz
triste por la serranía

Cuando el rey querido llega
de tarde a la serranía
Hay que ponerle gallina rellena
que el rey es fino madre mía
Le pones la mesa bien servida
tú sabes que el rey es gente fina
le pones un gran arroz volado
que coma el rey considerado

Cuando el rey llega de tarde 
que mira el jardín florecido
Cuando la diosa mueve el caderaje
se pone el rey más engreido
Y llega la mirá con anhelo
y dice gracias le doy al cielo
que viva alegre en la sabana
ya tiene su diosa coronada
Que canta el pobre Leandro Díaz
triste por la serranía
",0,
monlaferte,Algo Es Mejor,"

Sexo bajo el bello abril
Ciento veinte marca
Corro por tu espalda

Amo esta soledad
Amo esa, tu calma
En unas pocas curvas 

Baila en el volante, baila
Baila, que yo te sigo a donde vayas

Algo en mí cambió
Algo es mejor
Algo en mí cambió
Algo en tú y yo

Escondernos de la policía
Contamos las estrellas
Yo tomo Coca fría

Tu perfil es tan hermoso
Autopista de ciudad
Beso en Malibú

Y canta, canta en carretera, canta
Canta, que yo te sigo a donde vayas

Nada como tú y yo, woh-woh
",0,
